"","period","year","month","date","label","account","account_label","account_generic","account_subcategory","account_category","account_statement","value"
"1022","2021-06",2021,6,2021-06-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1023","2021-07",2021,7,2021-07-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1024","2021-07",2021,7,2021-07-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1025","2021-08",2021,8,2021-08-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1026","2021-08",2021,8,2021-08-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1027","2021-09",2021,9,2021-09-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1028","2021-09",2021,9,2021-09-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1029","2021-10",2021,10,2021-10-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1030","2021-10",2021,10,2021-10-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1031","2021-11",2021,11,2021-11-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1032","2021-11",2021,11,2021-11-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1033","2021-12",2021,12,2021-12-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1034","2021-12",2021,12,2021-12-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1035","2022-01",2022,1,2022-01-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1036","2022-01",2022,1,2022-01-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1037","2022-02",2022,2,2022-02-28,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1038","2022-02",2022,2,2022-02-28,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1039","2022-03",2022,3,2022-03-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1040","2022-03",2022,3,2022-03-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1041","2022-04",2022,4,2022-04-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1042","2022-04",2022,4,2022-04-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1043","2022-05",2022,5,2022-05-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1044","2022-05",2022,5,2022-05-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1045","2022-06",2022,6,2022-06-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1046","2022-06",2022,6,2022-06-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1047","2022-07",2022,7,2022-07-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1048","2022-07",2022,7,2022-07-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1049","2022-08",2022,8,2022-08-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1050","2022-08",2022,8,2022-08-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1051","2022-09",2022,9,2022-09-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1052","2022-09",2022,9,2022-09-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1053","2022-10",2022,10,2022-10-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1054","2022-10",2022,10,2022-10-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1055","2022-11",2022,11,2022-11-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1056","2022-11",2022,11,2022-11-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1057","2022-12",2022,12,2022-12-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1058","2022-12",2022,12,2022-12-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1059","2023-01",2023,1,2023-01-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1060","2023-01",2023,1,2023-01-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1061","2023-02",2023,2,2023-02-28,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1062","2023-02",2023,2,2023-02-28,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1063","2023-03",2023,3,2023-03-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1064","2023-03",2023,3,2023-03-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1065","2023-04",2023,4,2023-04-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1066","2023-04",2023,4,2023-04-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1067","2023-05",2023,5,2023-05-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1068","2023-05",2023,5,2023-05-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1069","2023-06",2023,6,2023-06-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1070","2023-06",2023,6,2023-06-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1071","2023-07",2023,7,2023-07-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1072","2023-07",2023,7,2023-07-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1073","2023-08",2023,8,2023-08-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1074","2023-08",2023,8,2023-08-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1075","2023-09",2023,9,2023-09-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1076","2023-09",2023,9,2023-09-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1077","2023-10",2023,10,2023-10-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1078","2023-10",2023,10,2023-10-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1079","2023-11",2023,11,2023-11-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1080","2023-11",2023,11,2023-11-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1081","2023-12",2023,12,2023-12-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1082","2023-12",2023,12,2023-12-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1083","2024-01",2024,1,2024-01-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1084","2024-01",2024,1,2024-01-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1085","2024-02",2024,2,2024-02-29,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1086","2024-02",2024,2,2024-02-29,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1087","2024-03",2024,3,2024-03-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1088","2024-03",2024,3,2024-03-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1089","2024-04",2024,4,2024-04-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1090","2024-04",2024,4,2024-04-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1091","2024-05",2024,5,2024-05-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1092","2024-05",2024,5,2024-05-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1093","2024-06",2024,6,2024-06-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1094","2024-06",2024,6,2024-06-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1095","2024-07",2024,7,2024-07-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1096","2024-07",2024,7,2024-07-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1097","2024-08",2024,8,2024-08-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1098","2024-08",2024,8,2024-08-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1099","2024-09",2024,9,2024-09-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1100","2024-09",2024,9,2024-09-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1101","2024-10",2024,10,2024-10-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1102","2024-10",2024,10,2024-10-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1103","2024-11",2024,11,2024-11-30,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1104","2024-11",2024,11,2024-11-30,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1105","2024-12",2024,12,2024-12-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1106","2024-12",2024,12,2024-12-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1107","2025-01",2025,1,2025-01-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1108","2025-01",2025,1,2025-01-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1109","2025-02",2025,2,2025-02-28,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1110","2025-02",2025,2,2025-02-28,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1111","2025-03",2025,3,2025-03-31,"depreciation of mixing and molding machines - 1",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1112","2025-03",2025,3,2025-03-31,"depreciation of mixing and molding machines - 1",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1113","2020-03",2020,3,2020-03-18,"purchase of mixing and molding machines - 2",15330,"equipment - mixing and molding machines","operating assets","long term assets","assets","balance sheet",150000
"1114","2020-03",2020,3,2020-03-18,"purchase of mixing and molding machines - 2",10200,"cash - investment","cash","current assets","assets","balance sheet",-150000
"1115","2020-04",2020,4,2020-04-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1116","2020-04",2020,4,2020-04-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1117","2020-05",2020,5,2020-05-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1118","2020-05",2020,5,2020-05-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1119","2020-06",2020,6,2020-06-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1120","2020-06",2020,6,2020-06-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1121","2020-07",2020,7,2020-07-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1122","2020-07",2020,7,2020-07-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1123","2020-08",2020,8,2020-08-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1124","2020-08",2020,8,2020-08-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1125","2020-09",2020,9,2020-09-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1126","2020-09",2020,9,2020-09-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1127","2020-10",2020,10,2020-10-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1128","2020-10",2020,10,2020-10-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1129","2020-11",2020,11,2020-11-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1130","2020-11",2020,11,2020-11-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1131","2020-12",2020,12,2020-12-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1132","2020-12",2020,12,2020-12-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1133","2021-01",2021,1,2021-01-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1134","2021-01",2021,1,2021-01-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1135","2021-02",2021,2,2021-02-28,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1136","2021-02",2021,2,2021-02-28,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1137","2021-03",2021,3,2021-03-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1138","2021-03",2021,3,2021-03-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1139","2021-04",2021,4,2021-04-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1140","2021-04",2021,4,2021-04-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1141","2021-05",2021,5,2021-05-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1142","2021-05",2021,5,2021-05-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1143","2021-06",2021,6,2021-06-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1144","2021-06",2021,6,2021-06-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1145","2021-07",2021,7,2021-07-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1146","2021-07",2021,7,2021-07-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1147","2021-08",2021,8,2021-08-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1148","2021-08",2021,8,2021-08-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1149","2021-09",2021,9,2021-09-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1150","2021-09",2021,9,2021-09-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1151","2021-10",2021,10,2021-10-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1152","2021-10",2021,10,2021-10-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1153","2021-11",2021,11,2021-11-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1154","2021-11",2021,11,2021-11-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1155","2021-12",2021,12,2021-12-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1156","2021-12",2021,12,2021-12-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1157","2022-01",2022,1,2022-01-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1158","2022-01",2022,1,2022-01-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1159","2022-02",2022,2,2022-02-28,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1160","2022-02",2022,2,2022-02-28,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1161","2022-03",2022,3,2022-03-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1162","2022-03",2022,3,2022-03-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1163","2022-04",2022,4,2022-04-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1164","2022-04",2022,4,2022-04-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1165","2022-05",2022,5,2022-05-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1166","2022-05",2022,5,2022-05-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1167","2022-06",2022,6,2022-06-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1168","2022-06",2022,6,2022-06-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1169","2022-07",2022,7,2022-07-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1170","2022-07",2022,7,2022-07-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1171","2022-08",2022,8,2022-08-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1172","2022-08",2022,8,2022-08-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1173","2022-09",2022,9,2022-09-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1174","2022-09",2022,9,2022-09-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1175","2022-10",2022,10,2022-10-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1176","2022-10",2022,10,2022-10-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1177","2022-11",2022,11,2022-11-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1178","2022-11",2022,11,2022-11-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1179","2022-12",2022,12,2022-12-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1180","2022-12",2022,12,2022-12-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1181","2023-01",2023,1,2023-01-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1182","2023-01",2023,1,2023-01-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1183","2023-02",2023,2,2023-02-28,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1184","2023-02",2023,2,2023-02-28,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1185","2023-03",2023,3,2023-03-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1186","2023-03",2023,3,2023-03-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1187","2023-04",2023,4,2023-04-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1188","2023-04",2023,4,2023-04-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1189","2023-05",2023,5,2023-05-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1190","2023-05",2023,5,2023-05-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1191","2023-06",2023,6,2023-06-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1192","2023-06",2023,6,2023-06-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1193","2023-07",2023,7,2023-07-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1194","2023-07",2023,7,2023-07-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1195","2023-08",2023,8,2023-08-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1196","2023-08",2023,8,2023-08-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1197","2023-09",2023,9,2023-09-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1198","2023-09",2023,9,2023-09-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1199","2023-10",2023,10,2023-10-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1200","2023-10",2023,10,2023-10-31,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1201","2023-11",2023,11,2023-11-30,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
"1202","2023-11",2023,11,2023-11-30,"depreciation of mixing and molding machines - 2",16330,"accumulated depreciation - mixing and molding machines","operating assets","long term assets","assets","balance sheet",-2500
"1203","2023-12",2023,12,2023-12-31,"depreciation of mixing and molding machines - 2",92030,"production","cost pool","cost pool","internal transfer","management accounting",2500
